Fecha,Hora,Valor_BencenoyPrecursores,Archivo
2017-11-09,07:00:00,2.623600781,fdo091117.XLS
2017-11-13,07:00:00,1.032394401,fdo131117.XLS
2017-11-16,07:00:00,2.158627314,fdo161117.XLS
2017-11-20,07:00:00,0.146902119,fdo201117.XLS
2017-11-23,07:00:00,3.236219927,fdo231117.XLS
2017-11-27,07:00:00,0.037065375,fdo271117.XLS
2017-11-30,07:00:00,0.15330829,fdo301117.XLS
2017-12-04,07:00:00,0.31489313,fdo041217.XLS
2017-12-07,07:00:00,1.515681513,fdo071217.XLS
2017-12-11,07:00:00,0.623688862,fdo111217.XLS
2017-12-14,07:00:00,0.062472388,fdo141217.XLS
2017-12-18,07:00:00,2.638617621,fdo181217.XLS
2017-12-21,07:00:00,0.628987518,fdo211217.XLS
2017-12-25,07:00:00,0.794983458,fdo251217.XLS
2017-12-28,07:00:00,2.723516811,fdo281217.XLS
2018-01-01,07:00:00,0.131021415,fdo010118.XLS
2018-01-04,07:00:00,0.355078414,fdo040118.XLS
2018-01-08,07:00:00,0.315197259,fdo080118.XLS
2018-01-11,07:00:00,0.151460577,fdo110118.XLS
2018-01-15,07:00:00,0.64913038,fdo150118.XLS
2018-01-18,07:00:00,1.357633492,fdo180118.XLS
2018-01-22,07:00:00,0.679530483,fdo220118.XLS
2018-01-25,07:00:00,1.894908886,fdo250118.XLS
2018-01-29,07:00:00,0.803478461,fdo290118.XLS
2018-02-01,07:00:00,0.864139021,fdo010218gcd.XLS
2018-02-05,07:00:00,0.710265726,fdo050218.XLS
2018-02-08,07:00:00,1.128379458,fdo080218.XLS
2018-02-19,07:00:00,0.606500841,fdo190218.XLS
2018-02-22,07:00:00,1.108438027,fdo220218.XLS
2018-02-26,07:00:00,1.287300571,fdo260218.XLS
2018-03-05,07:00:00,2.092838235,fdo050318.XLS
2018-03-08,07:00:00,1.273507924,fdo080318.XLS
2018-03-12,07:00:00,0.744185274,fdo120318.XLS
2018-03-19,07:00:00,1.88551057,fdo190318.XLS
2018-03-22,07:00:00,0.327828103,fdo220318.XLS
2018-03-26,07:00:00,1.240186172,fdo260318.XLS
2018-03-29,07:00:00,0.194425267,fdo290318.XLS
2018-04-02,07:00:00,0.270298211,fdo020418.XLS
2018-04-09,07:00:00,3.014473447,fdo090418.XLS
2018-04-12,07:00:00,1.274222054,fdo120418.XLS
